date time	display name	content
2021-11-11 03:05:02-05:00	Anthony Bitetto	One of the best !! https://t.co/NE7WyqWg7H
2021-09-16 02:08:39-04:00	Anthony Bitetto	@Blockaid1 Talk about a bloop single 😂😂😂
2021-09-08 13:18:58-04:00	Anthony Bitetto	"Who ya got tomorrow night ?? 
 @NYPDnews Vs. @FDNYhockeyteam https://t.co/WJOI5AWHSP"
2021-08-25 03:31:16-04:00	Anthony Bitetto	@Blockaid1 This guy knows!!
2021-08-21 19:11:40-04:00	Anthony Bitetto	👀
2021-08-21 00:12:09-04:00	Anthony Bitetto	Where’s @NPionk95 ??? Just letting you know the Twins are playing again 😂😂😂
2021-08-20 02:09:54-04:00	Anthony Bitetto	Missed the game tonight … you see the game @NPionk95 ?? 😂😂
2021-07-23 00:29:32-04:00	Anthony Bitetto	@strome18 🥰🥰
2021-07-22 22:49:36-04:00	Anthony Bitetto	@strome18 Saaaaaappppp Kiiiiddddd
2021-06-18 15:20:39-04:00	Anthony Bitetto	@strome18 Get on the sticks kidddd 😂
2021-06-16 20:39:30-04:00	Anthony Bitetto	🔥🔥🔥 https://t.co/cFw75O6DAu
2021-06-13 21:32:33-04:00	Anthony Bitetto	@j_wilson015 @RPimpsner What you shake off ?? 😂😂
2021-06-12 16:47:51-04:00	Anthony Bitetto	@MusicCityGP @nbc I need to get here!
2021-06-11 00:20:19-04:00	Anthony Bitetto	I love when the Yankees play the twins .. eh @NPionk95  😂😂
2021-06-10 13:49:49-04:00	Anthony Bitetto	@bellakrav74 👋🏻👋🏻
2021-06-10 12:58:55-04:00	Anthony Bitetto	Don’t forget those two Vezina’s too! 👀 😂 https://t.co/93iLtD6IFu
2021-06-06 15:37:47-04:00	Anthony Bitetto	Does Mayweather get KO’d today?? ... 🤔🤔
2021-05-30 02:33:21-04:00	Anthony Bitetto	@Broadwayhatpod @strome18 @NYRangers Together ?
2021-05-30 02:22:23-04:00	Anthony Bitetto	@strome18 @NYRangers SAAAAPPPP KIIIDDDDD - Duo streams soon 👀
2021-05-30 02:21:36-04:00	Anthony Bitetto	@_Snizz Facts, No 🧢
2021-05-30 02:15:48-04:00	Anthony Bitetto	Just posted a photo https://t.co/6a2wEBTb8a
2021-05-27 02:52:06-04:00	Anthony Bitetto	I’ll be back! That was insane 🔥@nyknicks
2021-05-27 01:39:22-04:00	Anthony Bitetto	Bannnggggg!! @nyknicks
2021-05-27 01:04:45-04:00	Anthony Bitetto	Huge second half 🙏🏻@nyknicks
2021-05-26 21:07:55-04:00	Anthony Bitetto	I’m so ready to yell bang on every three ball tonight @nyknicks
2021-05-26 16:01:23-04:00	Anthony Bitetto	See you tonight @nyknicks Lets go!!!🔥🔥
2021-02-06 14:17:52-05:00	Anthony Bitetto	The love has been incredible 👍🏻 #thankyou @ The Garden https://t.co/INv0gabNm5
2021-01-26 15:47:08-05:00	Anthony Bitetto	@adsroundtable Where we eating??
