puckdrop	decision	goals against	shots against	saves	save %
2013-01-19 15:00:00-05:00	W	1	28	27	.964
2013-01-21 19:30:00-05:00	W	0	31	31	1.000
2013-01-24 19:30:00-05:00	W	1	26	25	.962
2013-01-27 17:00:00-05:00	O	1	34	33	.971
2013-01-29 19:30:00-05:00	W	2	33	31	.939
2013-01-30 19:00:00-05:00	W	1	32	31	.969
2013-02-01 19:00:00-05:00	L	1	35	34	.971
2013-02-03 14:00:00-05:00	L	2	32	30	.938
2013-02-05 19:30:00-05:00	W	3	23	20	.870
2013-02-07 19:30:00-05:00	O	3	26	23	.885
2013-02-12 19:30:00-05:00	W	0	42	42	1.000
2013-02-13 19:00:00-05:00	L	4	30	26	.867
2013-02-16 19:00:00-05:00	L	2	28	26	.929
2013-02-19 19:30:00-05:00	W	1	38	37	.974
2013-02-21 19:30:00-05:00	\	0	21	21	1.000
2013-04-07 18:00:00-04:00	L	2	17	15	.882
2013-04-09 19:30:00-04:00	L	3	24	21	.875
2013-04-12 19:00:00-04:00	W	0	33	33	1.000
2013-04-16 19:30:00-04:00	W	2	34	32	.941
2013-04-18 19:30:00-04:00	W	1	19	18	.947
2013-04-20 19:00:00-04:00	L	4	22	18	.818
2013-04-22 19:30:00-04:00	L	3	24	21	.875
2013-04-25 19:00:00-04:00	W	1	20	19	.950
2013-04-27 19:00:00-04:00	L	2	25	23	.920
2013-10-04 19:00:00-04:00	W	0	35	35	1.000
2013-10-05 19:00:00-04:00	O	4	42	38	.905
2013-10-09 22:30:00-04:00	O	4	32	28	.875
2013-10-13 20:00:00-04:00	L	2	9	7	.778
2013-10-15 22:00:00-04:00	W	3	37	34	.919
2013-10-17 19:30:00-04:00	W	2	42	40	.952
2013-10-23 19:30:00-04:00	W	1	32	31	.969
2013-10-25 19:30:00-04:00	L	2	28	26	.929
2013-10-27 17:00:00-04:00	L	5	29	24	.828
2013-10-29 20:00:00-04:00	L	6	40	34	.850
2013-11-03 13:00:00-04:00	\	3	36	33	.917
2013-11-12 19:30:00-05:00	L	5	31	26	.839
2013-11-15 19:30:00-05:00	W	2	32	30	.938
2013-11-17 13:00:00-05:00	L	4	22	18	.818
2013-11-20 19:30:00-05:00	L	4	25	21	.840
2013-11-27 19:00:00-05:00	W	4	33	29	.879
2013-11-28 19:30:00-05:00	L	4	15	11	.733
2013-12-03 19:30:00-05:00	W	2	32	30	.938
2013-12-07 19:00:00-05:00	O	3	31	28	.903
2013-12-09 19:30:00-05:00	W	4	29	25	.862
2013-12-12 19:30:00-05:00	W	1	41	40	.976
2013-12-14 14:00:00-05:00	\	2	4	2	.500
2013-12-19 19:30:00-05:00	L	4	35	31	.886
2013-12-21 14:00:00-05:00	O	4	38	34	.895
2013-12-23 19:30:00-05:00	W	0	27	27	1.000
2013-12-28 19:00:00-05:00	W	3	32	29	.906
2013-12-30 19:30:00-05:00	W	1	35	34	.971
2014-01-02 19:30:00-05:00	W	3	35	32	.914
2014-01-04 19:00:00-05:00	W	3	29	26	.897
2014-01-08 21:30:00-05:00	O	4	31	27	.871
2014-01-11 19:00:00-05:00	W	1	33	32	.970
2014-01-16 19:30:00-05:00	O	5	23	18	.783
2014-01-18 14:00:00-05:00	L	4	31	27	.871
2014-01-21 19:00:00-05:00	W	0	34	34	1.000
2014-01-23 19:30:00-05:00	O	3	38	35	.921
2014-01-26 00:00:00-05:00	\	0	9	9	1.000
2014-01-28 19:00:00-05:00	W	2	36	34	.944
2014-01-30 19:30:00-05:00	W	3	38	35	.921
2014-02-01 19:00:00-05:00	L	5	35	30	.857
2014-02-03 19:00:00-05:00	O	2	48	46	.958
2014-02-06 19:30:00-05:00	W	2	32	30	.938
2014-02-08 15:00:00-05:00	L	5	33	28	.848
2014-03-02 16:00:00-05:00	W	2	31	29	.935
2014-03-04 21:30:00-05:00	L	3	30	27	.900
2014-03-05 21:30:00-05:00	L	4	28	24	.857
2014-03-08 15:00:00-05:00	W	3	49	46	.939
2014-03-10 19:30:00-04:00	\	3	29	26	.897
2014-03-28 19:30:00-04:00	W	3	49	46	.939
2014-03-31 19:30:00-04:00	W	1	31	30	.968
2014-04-02 19:00:00-04:00	L	2	27	25	.926
2014-04-04 19:00:00-04:00	L	7	23	16	.696
2014-04-08 19:00:00-04:00	W	1	46	45	.978
2014-04-12 19:00:00-04:00	W	0	28	28	1.000
2014-10-09 20:00:00-04:00	L	3	37	34	.919
2014-10-13 19:30:00-04:00	W	0	30	30	1.000
2014-10-16 19:30:00-04:00	W	3	31	28	.903
2014-10-26 19:00:00-04:00	L	2	45	43	.956
2014-10-30 19:30:00-04:00	O	4	39	35	.897
2014-11-04 19:30:00-05:00	W	1	32	31	.969
