date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2015-01-17	0	0	-1	0	0		11:01	2	0	
2015-02-10	0	0	0	7	1	0.0	10:09	0	0	
2015-02-12	0	0	0	0	0		13:44	3	1	
2015-02-14	0	0	0	0	0		14:12	1	0	
2015-02-17	0	0	0	0	0		13:29	1	0	
2015-02-19	0	0	0	0	0		10:32	1	2	100.0
2015-02-22	0	0	0	0	1	0.0	9:20	1	0	
2015-10-20	0	0	-1	0	1	0.0	13:27	1	1	
2016-01-08	0	0	0	2	0		12:02	1	1	
2016-01-12	0	0	1	0	0		11:38	3	2	
2016-01-14	0	0	0	0	0		12:02	1	2	
2016-01-16	0	0	0	0	0		14:24	5	1	
2016-01-19	0	0	-1	0	1	0.0	11:47	1	2	
2016-02-04	0	0	0	0	2	0.0	9:37	1	2	
2016-02-06	0	0	2	0	0		14:54	0	1	
2016-02-09	0	0	-1	0	0		9:08	0	0	
2016-02-12	0	0	-1	0	1	0.0	12:05	3	0	
2016-02-13	0	1	0	5	0		12:58	7	1	
2016-02-15	0	0	0	0	1	0.0	11:12	1	1	
2016-02-18	0	0	0	0	0		9:29	0	3	
2016-02-20	0	0	0	2	1	0.0	10:43	1	2	
2016-02-22	0	0	0	0	1	0.0	12:47	1	0	
2016-02-23	0	0	0	2	1	0.0	13:09	1	2	
2016-02-25	0	0	0	0	0		13:31	1	5	
2016-02-27	0	1	1	2	1	0.0	16:19	6	0	
2016-03-01	0	1	0	2	0		12:49	1	1	
2016-03-03	0	0	0	0	0		15:05	1	0	
2016-03-05	0	0	0	0	0		10:16	2	2	
2016-03-08	0	0	0	0	0		6:08	3	1	
2016-03-09	1	0	1	0	2	50.0	12:40	2	1	
2016-03-12	0	0	-1	0	1	0.0	9:44	1	1	
2016-03-14	0	1	1	2	2	0.0	10:45	3	4	
2016-03-17	0	1	0	0	2	0.0	13:15	5	2	
2016-04-07	0	0	-1	0	1	0.0	11:02	3	3	
2016-04-09	0	0	0	2	1	0.0	16:49	7	0	
2016-10-14	0	0	-1	5	0		4:42	1	0	
2016-11-25	0	0	1	0	0		13:40	5	2	
2016-11-27	0	0	-1	0	0		11:31	1	0	
2016-11-29	0	1	0	0	1	0.0	4:44	0	1	
2017-01-05	0	1	1	2	0		15:07	1	3	
2017-01-06	0	0	0	0	1	0.0	9:01	1	0	
2017-01-08	0	0	-1	0	0		11:42	3	0	
2017-01-10	0	0	0	0	1	0.0	12:08	1	0	
2017-01-12	0	0	0	0	1	0.0	20:08	1	2	
2017-01-14	0	0	1	2	3	0.0	15:36	1	2	
2017-01-17	0	0	0	0	0		13:22	2	0	
2017-01-19	0	1	1	2	1	0.0	13:46	0	2	
2017-01-20	0	0	-1	2	0		10:21	1	0	
2017-01-22	0	0	-1	0	2	0.0	11:21	2	1	
2017-01-24	0	0	0	0	0		10:59	1	1	
2017-01-26	0	0	0	2	1	0.0	8:33	2	0	
2017-01-31	0	0	-1	0	1	0.0	12:30	0	2	
