date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2013-10-01	0	0	-2	2	0		10:45	2	0	
2013-10-03	1	0	0	2	4	25.0	17:26	2	0	
2013-10-05	0	0	0	2	1	0.0	12:41	0	1	
2014-01-09	0	0	-1	0	0		12:59	1	2	
2014-01-10	0	0	0	0	1	0.0	13:37	3	0	
2014-01-12	0	1	1	0	2	0.0	19:30	1	1	
2014-01-14	0	0	0	0	1	0.0	16:05	2	1	
2014-01-15	0	0	-2	0	1	0.0	13:14	0	2	
2014-01-17	0	0	0	5	0		15:54	0	2	
2014-01-19	0	0	0	0	1	0.0	13:34	0	1	
2014-01-21	0	0	-1	2	1	0.0	16:47	0	2	
2014-01-24	0	0	1	0	2	0.0	16:44	0	0	
2014-01-25	0	1	2	0	1	0.0	18:14	0	4	
2014-01-28	0	0	-1	0	0		14:12	0	2	
2014-01-30	0	0	-3	0	4	0.0	19:42	0	0	
2014-01-31	0	0	-2	0	1	0.0	19:08	1	2	
2014-02-02	0	2	2	2	1	0.0	19:04	1	2	
2014-02-04	0	0	0	2	0		19:22	1	3	
2014-02-06	0	1	0	0	1	0.0	19:55	0	1	
2014-02-08	0	0	0	4	0		19:05	1	2	
2014-02-27	0	0	0	0	0		17:04	0	4	
2014-03-01	0	0	1	0	0		15:42	1	2	
2014-03-02	0	0	0	0	0		11:26	1	1	
2014-03-05	0	0	-1	0	1	0.0	17:06	1	2	
2014-03-06	0	0	-2	0	0		17:29	0	2	
2014-03-08	0	0	0	0	0		15:03	1	0	
2014-03-10	0	0	-1	0	0		11:51	0	1	
2014-03-11	0	0	-1	0	1	0.0	15:43	0	0	
2014-03-14	0	0	0	0	0		16:05	1	2	
2014-03-16	0	0	-2	0	0		11:50	0	1	
2014-04-08	0	0	0	0	1	0.0	14:29	1	2	
2014-04-10	0	0	3	0	0		18:53	1	4	
2014-04-11	0	0	0	2	1	0.0	16:53	3	4	
2014-04-13	0	0	0	0	0		15:32	0	3	
2015-12-28	0	0	1	0	1	0.0	9:19	0	0	
2015-12-30	0	0	-2	0	1	0.0	11:04	2	0	
2015-12-31	0	0	-1	0	0		9:58	3	3	
2016-02-29	0	0	-1	5	0		19:13	3	1	
2016-03-02	0	1	0	0	0		14:18	2	0	
2016-03-03	0	0	0	0	0		15:03	2	0	
2016-03-05	0	0	1	0	0		13:25	2	1	
2016-03-07	0	1	0	0	2	0.0	14:04	1	0	
2016-03-09	0	0	-2	0	0		21:36	6	1	
2016-03-12	0	0	-1	0	2	0.0	16:18	4	1	
2016-03-13	0	0	0	2	1	0.0	11:01	0	0	
2016-03-15	1	0	1	0	2	50.0	14:13	0	1	
2016-03-17	0	0	-1	0	1	0.0	16:30	1	3	
2016-03-19	1	0	1	0	1	100.0	18:38	0	2	
2016-03-21	0	0	2	0	1	0.0	14:00	1	0	
2016-03-24	0	0	-2	0	5	0.0	17:25	2	0	
2016-03-26	0	0	0	2	4	0.0	22:23	2	4	
2016-03-28	0	0	-1	2	0		18:56	5	1	
2016-03-29	0	0	0	4	0		17:44	2	1	
2016-10-12	0	0	1	0	4	0.0	18:54	2	2	
2016-10-15	0	0	1	0	0		18:51	2	0	
2016-10-19	1	0	1	0	3	33.3	13:24	2	0	
2016-10-20	0	0	-2	0	4	0.0	21:53	0	1	
2016-10-22	0	0	0	2	0		17:39	0	1	
2016-10-25	0	0	-2	0	3	0.0	19:44	1	2	
2016-10-27	0	0	3	0	4	0.0	21:59	1	1	
2016-10-29	0	0	0	2	3	0.0	21:20	2	5	
2016-10-30	0	0	0	2	1	0.0	18:58	1	0	
2016-11-01	0	0	0	0	2	0.0	18:04	0	2	
2016-11-03	0	0	-1	2	0		15:37	0	1	
2016-11-05	0	0	3	10	3	0.0	16:43	2	0	
2016-11-08	0	0	-4	0	0		14:22	2	1	
2016-11-11	0	1	0	0	0		15:45	2	0	
2016-11-17	0	0	3	0	0		14:43	0	2	
2016-11-19	0	0	0	2	1	0.0	14:58	0	1	
2016-11-22	0	1	0	2	0		19:10	2	4	
2016-11-23	0	0	1	0	2	0.0	18:56	1	1	
2016-11-26	0	0	0	0	0		13:00	1	1	
2016-11-29	0	0	1	0	0		12:48	0	1	
2016-11-30	0	0	-1	2	1	0.0	16:48	0	0	
2016-12-07	0	0	-2	0	1	0.0	15:03	0	1	
2016-12-11	0	0	0	0	4	0.0	16:30	2	1	
2016-12-13	0	0	1	2	0		17:36	0	4	
2016-12-15	0	0	0	0	0		19:11	2	2	
2016-12-17	0	0	0	0	1	0.0	16:24	5	2	
2016-12-19	0	0	0	2	1	0.0	13:20	1	2	
2016-12-22	0	0	2	0	1	0.0	17:36	1	2	
2016-12-23	0	0	0	0	3	0.0	16:18	0	1	
2016-12-28	0	0	-1	2	1	0.0	16:35	1	0	
2016-12-29	0	0	-1	0	1	0.0	13:25	0	3	
