date time	display name	content
2021-12-23 15:11:24-05:00	Connor Carrick	@LKemp42 Oh no. You went for the $$$…golden gun type shot…
2021-12-23 01:21:32-05:00	Connor Carrick	@tomhouse I remember my clearest youth instructions in perfect HD
2021-12-22 19:41:10-05:00	Connor Carrick	@khl_eng Fellow NJD taxi squad all toe drag team member. Good for you goose.
2021-12-22 02:02:22-05:00	Connor Carrick	@CWagon75 Eh. Meh.
2021-12-21 16:14:50-05:00	Connor Carrick	@pwilliamsAHL Possible to limit mouth opening for alcohol by subbing beer sales for strictly liquor shots? Lower volume, but still opportunity for fans to party? Who says no? ((I’m mostly kidding. As a player I’m as saddened by latest developments for fans (and us players) as anyone))
2021-12-20 00:58:34-05:00	Connor Carrick	@jpolly22 Happened to me in TO. Next level stunned. Guy behind me yelled wtf-you ok? Here we are tellin the tale.
2021-12-12 14:42:59-05:00	Connor Carrick	Little chalk goes a long way. Wind was helping. https://t.co/7o58FOawJE
2021-12-11 14:01:08-05:00	Connor Carrick	@racheldoerrie Two sides of the same coin-the zegras play + torts disdain for it..Yang yin approach. Two of the few hockey highlights I “HAD” to see this week…the play, and what torts had to say about it.
2021-12-01 20:35:35-05:00	Connor Carrick	@LKemp42 And by honestly, I mean dishonestly. Just to be clear.
2021-11-24 18:52:09-05:00	Connor Carrick	@DimFilipovic What a treat to watch this today
2021-11-22 03:35:58-05:00	Connor Carrick	"*want to watch kraken caps game but am subject to a “blackout”***
.
That’s the tweet. Where do we go from here."
2021-11-19 01:18:50-05:00	Connor Carrick	@HennyTweets I passed em that puck
2021-11-05 02:39:14-04:00	Connor Carrick	One of the better brand development moves the @NHL could make. I do dream still of guac not being extra, and the salary cap could take a hike. Both fan groups would benefit. Is qdoba still in business? https://t.co/RE7iyGaLyn
2021-11-01 12:46:04-04:00	Connor Carrick	@roasterjoe Grief takes many forms. I feel for you.
2021-10-28 00:21:05-04:00	Connor Carrick	Kyle, I am sorry you had to go through this. I hope you sleep better than you have in 10 years tonight. I hope the support coming your way takes a noticeable dent out of the hurt you’ve carried alone. I am heartbroken for you. I remember rooting for you as a young fan. https://t.co/Jve4UYQXET
2021-10-21 21:57:46-04:00	Connor Carrick	Confirmed. This is my goal song for the year. https://t.co/fGnaZC2uHt
2021-10-14 16:25:53-04:00	Connor Carrick	@LKemp42 I did that but you and @hayds51 weren’t invited.
