date time	display name	content
2021-12-21 20:28:54-05:00	Garret Sparks	"@LAKings @JacobIngham_ Thankfully this is the only footage of the morning from the goon squad

Chucking sauce &amp; dangling cars w/ @MattVillalta was an absolute treat 

Madds homerun would’ve been @SportsCenter Top 10 material as well, a no doubter walk off to left center on a @JacobIngham_ 🍪"
2021-12-20 06:28:32-05:00	Garret Sparks	"@MikeMcKenna56 Thanks Mike! As you know, time goes on &amp; you start to realize how truly  special the opportunity is. There’s no point in doing anything but giving all you have while enjoying the moment.

Greatest thing I did tonight was allow myself to have fun out there and lay it all out there"
2021-12-20 05:50:39-05:00	Garret Sparks	@seandurzi Coming from one of the best guys in hockey… Thanks for soaking that Ovi 1T for the kid and grabbing me the game puck, you’re a real one Durz. You &amp; the rest of the squad made this night incredibly special, one I won’t forget!
2021-12-14 02:23:34-05:00	Garret Sparks	@DanyAllstar15 The Eliot Freedman disrespect here is pretty insane, he deserves a https://t.co/baOcBxT11W item NUFD
2021-12-03 00:18:53-05:00	Garret Sparks	No bucket warmups as an EBUG in the Show?? Rockstar behavior @DanyAllstar15 https://t.co/Iu2UhT6DZa
2021-12-02 21:47:53-05:00	Garret Sparks	@gjonesbass This will be an awesome show! A good friend is part of Notion and he’s been looking forward to having you for a while now. We really enjoyed your @SummerCampFest set, wish I was around for this one. Have fun in Chicago!
2021-11-12 03:57:03-05:00	Garret Sparks	"Congrats on an amazing debut @Fucale31!! 

You’ve been working for this moment a long time, enjoy it!"
2021-11-11 19:01:24-05:00	Garret Sparks	"Awesome write-up by @ShafReign highlighting the early season work of #GoalieUnion 

It’s been a pleasure being a part of the equation, looking forward to accomplishing more together throughout @TheAHL season #Mossy https://t.co/ECe9zthnP0"
2021-10-23 06:56:36-04:00	Garret Sparks	@rabbi_d @ontarioreign Brother we need to get you a better camera
2021-10-13 22:40:54-04:00	Garret Sparks	@ShawnMcKenzieSN Rule #1 Never apologize for great style
2021-10-13 19:36:50-04:00	Garret Sparks	"Thanks so much for the stunning work Steve @Eyecandyair! Amazing process working thru the idea of a Denis Lemieux tribute evolved into an intricate 00’s @LAKings x @gjonesbass collaboration

Honored to pay respect to Chicago legend Tony O on the backplate over @UnionPacific wings https://t.co/EJ8l6iLj8t"
2021-10-08 02:01:55-04:00	Garret Sparks	@joshpan @Skrillex @Noisia_nl @dylanbrady Having a really hard time disagreeing with her, this song has had my noodle in a blender for months now
2021-10-08 01:45:41-04:00	Garret Sparks	@CustomProRepair I have 2 pairs of his Luxe’s from Toronto and Dallas, top 5 best glove specs in the game right now. Of course he’s got you dialing them in
2021-10-02 08:22:35-04:00	Garret Sparks	@gjonesbass You dropping Death Bliss at Summercamp restored my faith in humanity, apology accepted legend
2021-09-28 04:27:19-04:00	Garret Sparks	@TheJesseLiebman @mayorNHL Medium of choice this time around was Sharpie #AmateurHour
2021-09-26 02:21:49-04:00	Garret Sparks	@KingsMenPodcast https://t.co/RJjxIiNNHZ
2021-08-27 00:13:31-04:00	Garret Sparks	@jadudala Cabo San Lucas - @mrcarmack
2021-08-26 22:05:59-04:00	Garret Sparks	@Jeremy_Roenick @NOlczyk16 @ChicagoCut https://t.co/nZkEvvjE7Z
2021-08-20 03:24:19-04:00	Garret Sparks	@LouisTheChild Saw Flume there in 2016(?), it was a visceral experience. Have a great time &amp; blow the doors off the place
2021-08-06 12:29:52-04:00	Garret Sparks	"Congrats to Rick on a great career! One of my 1st pro goalie coaches w/ @MapleLeafs, he never let me lose my focus or swagger when I was down w/ @OrlandoHockey

Always had time for a chat in the depths of the MTS Centre or a quick wave if he was on ice teaching the future #G3RED https://t.co/8OD1oVl39A"
2021-08-03 21:41:34-04:00	Garret Sparks	@Sparxhockey Need it, bad
2021-07-29 21:40:52-04:00	Garret Sparks	@mrcarmack On God I would
2021-07-21 00:27:59-04:00	Garret Sparks	@DanyAllstar15 Give the dog a bone @FriedgeHNIC
2021-06-27 00:55:36-04:00	Garret Sparks	@mrcarmack This song is absolute gas, someone played it in the gym 2 weeks ago &amp; I have been thinking about it since, ID please 🙏🏻
2021-06-04 23:04:41-04:00	Garret Sparks	@swum Cue Fendi Seats
2021-06-04 20:28:06-04:00	Garret Sparks	@HeyBarber @BauerHockey Daddy needs a new pair of dancing shoes for the summer, what’s a guy gotta do for a HypeBox? Some designer #Hyperlite slippers could really help me put the @fifththirdarena B league on notice
2021-06-01 16:15:56-04:00	Garret Sparks	If he doesn’t win... https://t.co/2EnUkfhka0 https://t.co/IbLkXawrOa
