puckdrop	decision	goals against	shots against	saves	save %
2013-02-28 19:00:00-05:00	O	2	46	44	.957
2013-03-03 15:00:00-05:00	O	2	35	33	.943
2013-03-08 19:00:00-05:00	W	2	35	33	.943
2013-03-11 19:30:00-04:00	O	2	35	33	.943
2013-03-13 19:00:00-04:00	O	3	45	42	.933
2013-03-17 17:00:00-04:00	W	1	26	25	.962
2013-03-21 19:30:00-04:00	L	2	29	27	.931
2013-03-23 14:00:00-04:00	W	3	32	29	.906
2013-04-02 19:00:00-04:00	L	3	50	47	.940
2013-04-05 19:00:00-04:00	L	4	30	26	.867
2013-04-11 19:00:00-04:00	W	1	25	24	.960
2013-04-28 19:00:00-04:00	W	2	36	34	.944
2013-10-12 22:00:00-04:00	L	3	50	47	.940
2013-10-13 20:00:00-04:00	\	2	47	45	.957
2013-10-19 14:00:00-04:00	L	2	20	18	.900
2013-11-01 19:30:00-04:00	O	4	57	53	.930
2013-11-03 13:00:00-04:00	O	0	2	2	1.000
2013-11-05 19:00:00-05:00	W	1	33	32	.970
2013-11-07 19:00:00-05:00	W	1	34	33	.971
2013-11-09 14:00:00-05:00	W	2	28	26	.929
2013-11-19 19:00:00-05:00	L	4	41	37	.902
2013-11-23 19:00:00-05:00	W	2	36	34	.944
2013-11-24 17:00:00-05:00	L	3	36	33	.917
2013-11-28 19:30:00-05:00	\	1	13	12	.923
2013-12-01 17:30:00-05:00	L	3	22	19	.864
2013-12-05 19:30:00-05:00	L	3	22	19	.864
2013-12-10 19:00:00-05:00	O	1	36	35	.972
2013-12-14 14:00:00-05:00	L	3	22	19	.864
2013-12-16 19:30:00-05:00	W	2	32	30	.938
2013-12-18 19:30:00-05:00	L	5	33	28	.848
2013-12-27 19:00:00-05:00	L	5	42	37	.881
2014-01-14 20:00:00-05:00	W	0	27	27	1.000
2014-01-26 00:00:00-05:00	L	5	22	17	.773
2014-02-04 20:00:00-05:00	W	4	50	46	.920
2014-02-08 15:00:00-05:00	\	2	9	7	.778
2014-02-27 19:30:00-05:00	L	6	15	9	.600
2014-03-10 19:30:00-04:00	O	1	13	12	.923
2014-03-15 19:00:00-04:00	O	5	48	43	.896
2014-03-16 17:00:00-04:00	L	3	22	19	.864
2014-03-18 19:30:00-04:00	L	5	28	23	.821
2014-03-20 19:30:00-04:00	L	5	28	23	.821
2014-03-22 15:00:00-04:00	L	3	44	41	.932
2014-03-24 19:30:00-04:00	W	3	38	35	.921
2014-03-25 19:30:00-04:00	O	2	41	39	.951
2014-03-30 17:00:00-04:00	W	3	40	37	.925
2014-04-05 19:00:00-04:00	W	2	43	41	.953
2014-04-10 19:30:00-04:00	W	1	39	38	.974
2014-04-13 19:30:00-04:00	W	2	28	26	.929
2014-10-11 19:00:00-04:00	W	2	40	38	.950
2014-10-18 19:00:00-04:00	W	2	40	38	.950
2014-10-25 19:00:00-04:00	O	3	29	26	.897
2014-10-28 19:00:00-04:00	W	2	38	36	.947
2014-11-01 19:00:00-04:00	L	4	30	26	.867
2014-11-09 18:00:00-05:00	L	5	30	25	.833
2014-11-20 19:30:00-05:00	W	2	35	33	.943
2014-11-22 15:00:00-05:00	L	3	33	30	.909
2014-11-25 20:00:00-05:00	W	2	29	27	.931
2014-11-29 19:00:00-05:00	L	4	32	28	.875
2014-12-13 13:00:00-05:00	W	2	31	29	.935
2014-12-15 19:00:00-05:00	O	4	33	29	.879
2014-12-20 19:00:00-05:00	L	4	29	25	.862
2015-01-04 19:00:00-05:00	L	4	30	26	.867
2015-01-08 21:00:00-05:00		2	12	10	.833
2015-01-13 20:30:00-05:00	L	5	29	24	.828
2015-01-29 19:30:00-05:00	L	4	39	35	.897
2015-01-31 15:00:00-05:00	W	2	37	35	.946
2015-02-03 19:00:00-05:00	L	2	19	17	.895
2015-02-05 19:30:00-05:00	L	2	29	27	.931
2015-02-07 19:00:00-05:00	L	3	32	29	.906
2015-02-10 19:00:00-05:00	W	1	36	35	.972
2015-02-12 19:30:00-05:00	O	4	29	25	.862
2015-02-14 14:00:00-05:00	W	2	27	25	.926
2015-02-16 19:30:00-05:00	L	4	31	27	.871
2015-10-08 19:00:00-04:00		1	12	11	.917
2016-01-15 19:00:00-05:00	L	3	30	27	.900
2016-01-20 22:00:00-05:00	L	2	35	33	.943
2016-01-22 19:00:00-05:00	L	2	44	42	.955
2016-01-26 19:30:00-05:00	W	2	36	34	.944
2016-02-03 19:00:00-05:00	W	2	35	33	.943
2016-02-06 19:00:00-05:00	O	2	38	36	.947
2016-02-09 19:00:00-05:00		4	12	8	.667
2016-02-11 19:00:00-05:00	L	5	28	23	.821
2016-02-15 00:30:00-05:00	W	1	35	34	.971
2016-02-16 19:30:00-05:00	O	1	26	25	.962
2016-02-19 19:00:00-05:00	W	0	38	38	1.000
2016-02-22 00:30:00-05:00	L	4	31	27	.871
2016-02-24 22:30:00-05:00	L	1	29	28	.966
2016-02-27 23:00:00-05:00	L	2	35	33	.943
2016-03-01 19:30:00-05:00	O	2	41	39	.951
2016-03-03 19:00:00-05:00	W	3	29	26	.897
2016-03-05 13:00:00-05:00	O	2	30	28	.933
2016-03-08 19:00:00-05:00	L	3	14	11	.786
2016-03-10 19:30:00-05:00	L	3	34	31	.912
2016-03-16 19:00:00-04:00	O	3	22	19	.864
2016-10-13 19:00:00-04:00	L	4	24	20	.833
2016-10-16 19:00:00-04:00	W	2	33	31	.939
2016-10-18 21:00:00-04:00	O	4	34	30	.882
2016-10-20 22:00:00-04:00	L	2	20	18	.900
2016-10-30 15:00:00-04:00	W	1	38	37	.974
2016-11-01 20:00:00-04:00	W	1	28	27	.964
2016-11-03 19:00:00-04:00	L	2	29	27	.931
2016-11-05 19:00:00-04:00	W	1	33	32	.970
2016-11-07 19:00:00-05:00	L	4	42	38	.905
2016-11-09 19:30:00-05:00	O	1	29	28	.966
2016-11-12 19:00:00-05:00	L	4	27	23	.852
2016-11-15 20:00:00-05:00	L	3	30	27	.900
2016-11-17 19:00:00-05:00	L	4	38	34	.895
2016-11-21 19:00:00-05:00	W	2	31	29	.935
2016-11-23 19:00:00-05:00	O	1	24	23	.958
2016-11-29 19:30:00-05:00		1	6	5	.833
2016-12-03 13:00:00-05:00	L	2	33	31	.939
2016-12-05 19:00:00-05:00	O	3	33	30	.909
2016-12-09 19:00:00-05:00	L	3	28	25	.893
2016-12-13 19:00:00-05:00	W	3	33	30	.909
