date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2005-10-05	2	0	1	2	5	40.0	17:36			
2005-10-07	0	1	-2	0	1	0.0	17:44			
2005-10-08	0	1	0	4	3	0.0	16:21			
2005-10-10	1	0	1	2	6	16.7	15:03			
2005-10-12	1	0	0	0	6	16.7	13:53			
2005-10-13	0	1	-1	0	5	0.0	25:19			
2005-10-16	0	1	1	0	2	0.0	20:17			
2005-10-20	2	0	1	0	10	20.0	20:00			
2005-10-22	0	0	0	0	2	0.0	17:55			
2005-10-26	0	1	0	0	5	0.0	17:36			
2005-10-28	2	0	0	0	4	50.0	22:04			
2005-11-03	0	0	-2	0	7	0.0	23:19			
2005-11-04	0	0	1	2	7	0.0	22:20			
2005-11-06	2	0	-1	0	8	25.0	17:42			
2005-11-08	2	0	-2	4	7	28.6	20:58			
2005-11-11	1	0	0	0	5	20.0	19:24			
2005-11-12	0	0	0	0	3	0.0	19:15			
2005-11-15	1	0	0	0	9	11.1	22:42			
2005-11-17	1	1	-1	2	7	14.3	21:58			
2005-11-19	0	0	1	0	5	0.0	17:55			
2005-11-22	0	1	1	0	4	0.0	25:17			
2005-11-23	0	1	-2	0	0		20:07			
2005-11-26	0	1	0	0	9	0.0	24:30			
2005-11-27	0	1	-1	0	4	0.0	21:02			
2005-12-01	0	0	0	0	4	0.0	18:53			
2005-12-03	1	3	3	0	1	100.0	15:32			
2005-12-07	1	0	-1	2	6	16.7	23:08			
2005-12-09	1	1	0	0	6	16.7	23:30			
2005-12-14	0	2	1	0	3	0.0	18:30			
2005-12-16	0	0	0	0	2	0.0	22:46			
2005-12-18	0	0	0	0	5	0.0	19:16			
2005-12-22	1	3	1	2	8	12.5	20:45			
2005-12-23	1	0	1	0	5	20.0	20:32			
2005-12-27	1	1	0	0	2	50.0	20:59			
2005-12-28	1	0	-1	0	2	50.0	20:32			
2005-12-31	1	1	0	0	7	14.3	24:57			
2006-01-01	1	1	1	2	5	20.0	21:47			
2006-01-04	0	0	-2	2	3	0.0	23:00			
2006-01-06	1	0	-2	0	2	50.0	26:56			
2006-01-08	0	2	0	0	5	0.0	27:03			
2006-01-10	1	1	1	0	6	16.7	24:26			
2006-01-12	1	0	-1	2	8	12.5	23:36			
2006-01-13	3	0	2	2	4	75.0	19:15			
2006-01-16	2	1	1	2	10	20.0	17:18			
2006-01-19	1	1	2	0	5	20.0	24:01			
2006-01-21	0	2	1	0	6	0.0	17:14			
2006-01-23	0	0	0	0	2	0.0	25:02			
2006-01-25	1	0	0	0	5	20.0	23:26			
2006-01-26	0	1	0	0	7	0.0	26:24			
2006-01-29	0	1	0	0	3	0.0	18:32			
2006-02-03	0	1	2	6	2	0.0	21:43			
2006-02-04	0	0	-1	0	6	0.0	23:34			
2006-02-07	0	0	-2	0	10	0.0	21:57			
2006-02-10	1	1	-1	0	11	9.1	22:34			
2006-02-11	1	0	0	6	8	12.5	23:31			
2006-02-28	1	0	0	0	6	16.7	19:10			
2006-03-02	1	0	-1	0	5	20.0	20:34			
2006-03-04	1	1	0	2	7	14.3	21:57			
2006-03-06	2	1	1	0	7	28.6	16:47			
2006-03-08	1	2	1	0	10	10.0	22:10			
2006-03-10	0	0	-2	0	1	0.0	23:27			
2006-03-12	0	0	2	2	1	0.0	24:27			
2006-03-14	1	2	0	0	3	33.3	20:40			
2006-03-16	0	0	0	0	5	0.0	24:43			
2006-03-18	0	2	1	0	8	0.0	22:30			
2006-03-20	1	0	-1	0	4	25.0	19:26			
2006-03-22	0	1	1	0	3	0.0	27:44			
2006-03-23	2	1	2	0	13	15.4	25:50			
2006-03-25	1	1	1	0	4	25.0	22:25			
2006-03-29	1	0	0	0	8	12.5	18:52			
2006-03-30	0	2	-1	2	5	0.0	24:17			
2006-04-01	0	1	0	0	6	0.0	23:52			
2006-04-03	0	1	-1	0	4	0.0	28:01			
2006-04-05	0	2	0	2	5	0.0	29:02			
2006-04-07	0	1	-1	0	12	0.0	24:21			
2006-04-08	0	0	-1	2	3	0.0	19:39			
2006-04-10	1	0	1	0	4	25.0	23:20			
2006-04-13	1	1	0	0	3	33.3	23:42			
2006-04-15	1	0	1	0	5	20.0	25:50			
2006-04-17	1	1	-1	0	6	16.7	20:09			
2006-04-18	0	1	0	0	4	0.0	17:31			
2006-10-05	0	0	-4	2	3	0.0	24:01			
2006-10-07	2	0	2	0	15	13.3	21:41			
2006-10-12	0	1	1	0	6	0.0	20:47			
2006-10-14	0	1	0	0	6	0.0	20:54			
2006-10-18	0	0	1	0	4	0.0	19:36			
2006-10-19	1	1	2	0	7	14.3	24:41			
2006-10-21	1	0	-2	0	5	20.0	22:41			
2006-10-25	1	0	-1	0	4	25.0	17:13			
2006-10-27	1	1	0	2	2	50.0	23:17			
2006-10-28	0	0	-2	0	4	0.0	21:23			
2006-10-30	0	2	1	0	9	0.0	21:12			
2006-11-03	0	2	-1	0	4	0.0	24:40			
2006-11-04	2	0	2	0	2	100.0	18:29			
2006-11-06	2	0	0	0	8	25.0	21:48			
2006-11-09	0	0	0	0	4	0.0	17:47			
