date	goals	assists	+/-	pim	shots	shot%	TOI	hits	blocks	faceoff %
2007-10-12	0	1	1	0	1	0.0	11:35	1	0	
2007-10-27	0	0	0	0	0		4:38	1	0	0.0
2007-10-30	0	0	0	0	0		13:19	1	1	
2007-11-01	0	1	1	0	4	0.0	13:56	1	0	
2007-11-03	1	0	0	0	1	100.0	16:52	2	0	
2007-11-04	0	0	0	0	1	0.0	13:51	2	1	
2007-11-09	1	1	-1	2	4	25.0	17:24	1	0	
2007-11-13	2	0	1	0	2	100.0	12:48	1	1	
2007-11-16	0	0	0	0	1	0.0	13:36	3	0	
2007-11-17	1	0	1	2	2	50.0	12:18	0	0	
2007-11-19	0	0	0	2	1	0.0	12:28	1	0	
2007-11-21	0	0	0	2	0		12:15	0	0	
2007-11-23	0	0	0	2	2	0.0	8:09	4	0	
2007-11-25	0	0	0	0	1	0.0	12:32	1	0	
2007-12-07	0	1	1	0	2	0.0	12:35	3	0	
2007-12-09	1	1	-1	0	3	33.3	14:35	0	0	
2007-12-11	0	0	0	0	0		9:09	0	0	
2007-12-13	0	0	0	2	0		10:34	0	0	
2007-12-16	0	0	0	0	0		4:59	0		
2007-12-20	0	0	-1	4	3	0.0	14:17	0	0	
2007-12-22	0	1	1	0	1	0.0	10:20	0	1	100.0
2007-12-23	0	1	1	0	0		15:01	0	0	
2007-12-28	0	0	0	0	0		12:15	0	0	
2007-12-29	1	0	1	2	1	100.0	15:11	1	0	
2007-12-31	0	0	0	0	1	0.0	12:37	0	0	
2008-01-02	1	0	2	0	2	50.0	13:59	1	0	
2008-01-05	0	0	0	0	0		9:01	0	0	
2008-01-08	1	1	3	2	1	100.0	13:58	3	0	
2008-01-10	0	1	1	0	0		13:19	1	1	
2008-01-11	0	0	0	2	1	0.0	12:53	0	0	
2008-01-13	0	0	1	0	0		10:05	1	0	
2008-01-16	0	0	-2	0	2	0.0	13:04	0	0	0.0
2008-01-19	0	0	0	0	0		13:09	2	0	
2008-01-21	0	0	0	0	0		11:56	1	0	
2008-01-23	0	0	0	0	0		10:06	0	0	
2008-01-29	0	0	0	2	0		9:56	0	0	0.0
2008-02-02	0	1	0	2	0		15:43	2	0	
2008-02-05	1	0	2	0	5	20.0	19:07	6	0	
2008-02-09	0	0	-2	0	1	0.0	11:51	2	0	
2008-02-10	0	0	0	0	0		8:38	1	0	
2008-02-12	0	0	0	2	0		10:20	1	0	
2008-02-17	1	0	1	2	1	100.0	12:28	0	0	
2008-02-24	0	0	-1	4	2	0.0	10:41	2	0	
2008-02-28	0	0	0	0	2	0.0	11:14	1	1	
2008-03-01	0	0	0	0	1	0.0	13:12	1	0	
2008-03-04	0	1	2	0	0		12:27	2	0	
2008-03-05	0	0	0	0	3	0.0	10:17	2	0	
2008-03-08	0	0	0	0	1	0.0	11:40	1	0	
2008-03-10	0	0	1	0	3	0.0	14:51	0	1	100.0
2008-03-11	0	0	1	0	1	0.0	17:16	0	0	
