date time	display name	content
2021-12-19 23:13:41-05:00	Robin Lehner	@HulkMorgan That was for the kid I pointed too 🤦 hope he gives it back.
2021-12-19 22:05:01-05:00	Robin Lehner	https://t.co/bZySoaAzNu  what a road trip. Thanks so much @NYIslanders and all fans. I love you guys and will forever be in my heart ❤️ finally got to come back and see you guys. 🐼
2021-12-18 22:03:34-05:00	Robin Lehner	@SickNotWeak It’s not ending tho guys. Corporations and the big guys could care less. Any other subject or topic get this public attacks there would be some backing from your employers. Something from the league that it isn’t ok to discriminate. Not one word of support or action.
2021-12-18 21:06:33-05:00	Robin Lehner	@jdemers51 😂
2021-12-18 21:01:21-05:00	Robin Lehner	I’m ready for tomorrow. Yes yes yes. Lou house his rules 🤷‍♂️❤️ https://t.co/yp8Ycroehe
2021-12-18 17:48:44-05:00	Robin Lehner	Tomorrow I’ll go back to the people that accepted me for who I am and the ones that supported me no matter what. Gonna be amazing seeing you guys again. Long Island I’m forever grateful for you place in my journey. Often when I go trough these things I think of you. ❤️
2021-12-18 17:48:44-05:00	Robin Lehner	Has @nhl done anything to condemn  this or the nhlpa? I retweeted a few days ago a small taste of what’s there for me on social media. I’m not gonna stop using social media as it still helps people that deals with what I deal with. I suggest nhl stops advocating for mental health
2021-12-18 17:48:44-05:00	Robin Lehner	I have to deal with on social media from fans across the league and trough my career. Media outlets and papers that have stigmatized everything around my condition.  not just people in their moms basement. No one has a clue what’s in my dm or what I’m always tagged in.
2021-12-18 17:48:43-05:00	Robin Lehner	Being open about my bipolar was a choice to help others. To help people that struggles with mental illness to see it’s possible to be accepted.People call me sensitive and that I want attention.I wanted attention to the subject of mental health. No one have any idea of the stuff
2021-12-17 19:11:52-05:00	Robin Lehner	@Ade780 Where have we come? This progress please tell me where it is? I’m in the space and haven’t seen progress. Just fake corporations trying to make branding campaigns to better their bottom line.
2021-12-17 18:54:40-05:00	Robin Lehner	@thegravytrain33 What I did? Your coach sent them in to start this in the end of the game. 🤦 they grabbed and try to fight guys that didn’t throw their gloves. Their lucky refs were glued on me.
2021-12-17 18:51:47-05:00	Robin Lehner	@VegasMapleLeaf I’m ignoring just showing stigma is at a higher peak then ever. I see this everyday and that’s why I try to stay away from social media. But I warned them 3-4 times before I joined in. Other side sent in and was ordered to do this when 20 sec left in game. Smh
2021-12-17 18:43:31-05:00	Robin Lehner	Funny when they sent out people to go after some of my guys that didn’t wanna fight but I’m a mental case. Much love and hope in this world ❤️ stigma is getting better ehh. Progress is not being made. Time to stop acting like it. https://t.co/mQ01fTgIm5
2021-12-06 07:02:37-05:00	Robin Lehner	Took long time to make decision with my psychiatrist and family. My well being have too come first and being locked down and not knowing what happens if you test positive is to much of a risk for me. Sweden will have a great team and Markström is a beast.Hope people understand ❤️
2021-12-06 07:02:37-05:00	Robin Lehner	Great performance tonight from our team. Have to address I will not go to the olympics. I’m very disappointed and it tough decision for me as it’s once in life time opportunity. Reality is that what have been said about how it’s going to be is not ideal for my mental health.
2021-11-30 23:01:40-05:00	Robin Lehner	@RealKidPoker 😍
2021-11-26 07:43:21-05:00	Robin Lehner	@vinnie_paz Me too brother. I’ll come visit when I get to Philly.
2021-11-26 07:21:09-05:00	Robin Lehner	@headhunnterhcky @VGKborn199500 @YouTube @vinnie_paz Got to know him a bit. Huge respect to him
2021-11-26 06:37:37-05:00	Robin Lehner	@Sonny_Deez @vinnie_paz @vinnie_paz
2021-11-26 06:36:50-05:00	Robin Lehner	@VGKborn199500 @YouTube @vinnie_paz Good
2021-11-26 06:32:19-05:00	Robin Lehner	Eric Prydz - Opus Vs Charlie Chaplin Vs Martin Luther King speech (AVILO... https://t.co/tue23vkIvh via @YouTube  everyone are coming for me. That’s fine im willing to die for what I believe in. @vinnie_paz if im cancelled so be it. I heard people coming for me and I welcome them
2021-11-26 06:16:14-05:00	Robin Lehner	Im thankful to @vinnie_paz for making 🔥 truth songs regarding mental health.
2021-11-26 03:01:13-05:00	Robin Lehner	@RearAdBsBlog You too man!
2021-11-26 02:47:26-05:00	Robin Lehner	Happy thanksgiving. I’m thankful for our team and fans. Most thankful to all my haters you mean a lot to me. ❤️ https://t.co/YYhpCrHap2
2021-11-19 06:20:49-05:00	Robin Lehner	The way our group is battling trough this is impressive. Stay in the race. Fans you guys are helping us stay in it ❤️ great atmosphere today again. 🐼
2021-11-15 04:42:49-05:00	Robin Lehner	@CanuckCalvert Nope
2021-11-15 04:42:19-05:00	Robin Lehner	@vanislestyle @smithxdesign Nah offended. I’m sorry. How that is about mental health is crazy to me 😂
2021-11-15 04:06:40-05:00	Robin Lehner	@darrenrovell You better…
2021-11-15 04:06:16-05:00	Robin Lehner	@VGKrush Never. Vegasborn. Never leaving. Twitter is my trade clause
2021-11-15 04:05:13-05:00	Robin Lehner	@darrenrovell Get out here soon bro…
2021-11-15 04:04:15-05:00	Robin Lehner	https://t.co/rRBgl7Psdo
2021-11-15 03:49:11-05:00	Robin Lehner	https://t.co/HdT30HMmdG
2021-11-15 03:29:14-05:00	Robin Lehner	With the boys. @bigwoodmma @dannyrube https://t.co/SJOwrtSKM3
2021-11-15 02:34:56-05:00	Robin Lehner	@Raiders Put me in coach
2021-11-15 02:34:17-05:00	Robin Lehner	@DebbieLynneC Yes
2021-11-15 02:31:43-05:00	Robin Lehner	Im not always right but I’m never wrong…
2021-11-15 02:15:02-05:00	Robin Lehner	Offensive lineman ❤️ @Raiders https://t.co/ChNZTlOWLz
2021-11-15 02:00:55-05:00	Robin Lehner	🐼🐼👀 https://t.co/2wOP1QEphN
2021-11-15 01:48:42-05:00	Robin Lehner	That’s the only touch down they will get. Trust
2021-11-15 01:29:21-05:00	Robin Lehner	@roxxygrl_ @Superd316 3 shot today 🤷‍♂️
2021-11-15 01:27:46-05:00	Robin Lehner	@Superd316 Nope
2021-11-15 01:21:56-05:00	Robin Lehner	@stanhomer2 I should be one
2021-11-15 01:20:40-05:00	Robin Lehner	There is a lot of pandas in football 😂
2021-11-15 01:15:12-05:00	Robin Lehner	Celebrate mr.101 Vegas golden knight goals today #originalmisfit https://t.co/W6q9CNYign
2021-11-15 01:07:00-05:00	Robin Lehner	W guaranteed! https://t.co/XwMtxgArx6
2021-11-15 00:23:03-05:00	Robin Lehner	@Raiders
2021-11-15 00:18:02-05:00	Robin Lehner	Let’s go 😂 https://t.co/znoAd8dAqg
2021-11-14 23:59:24-05:00	Robin Lehner	@tristanmcl Or you treat them with respect and they respect you 🤷‍♂️
2021-11-14 23:52:25-05:00	Robin Lehner	@VGK_Dawg @Raiders No :(
2021-11-14 23:31:17-05:00	Robin Lehner	@alfaLAF1 @Raiders Nope
2021-11-14 23:29:06-05:00	Robin Lehner	First @Raiders game for me today. Feeling a big w coming 😎
2021-11-14 23:24:33-05:00	Robin Lehner	@Lipinskiwtf @seensjet Great call
2021-11-14 23:06:12-05:00	Robin Lehner	@AaronDuBois88 @CamandStrick Smash burger
2021-11-14 23:05:53-05:00	Robin Lehner	@LatourTim True statement 😂
2021-11-14 22:49:58-05:00	Robin Lehner	@Milzz89 @BigBoyBeard @joepratap1 Also a penalty.. can’t interfere with the golden knights.. everyone in the league knows that 😂
2021-11-14 22:48:08-05:00	Robin Lehner	@BigBoyBeard @Milzz89 @joepratap1 That’s how it works… 2 min for instigating and 2 min for roughing is 4 min 🤷‍♂️
2021-11-14 22:45:44-05:00	Robin Lehner	@Milzz89 @BigBoyBeard @joepratap1 No.. clean hit and clear instigator… 😂
2021-11-14 22:39:45-05:00	Robin Lehner	@NPriceWeTrust31 Sure… 😂
2021-11-14 22:29:17-05:00	Robin Lehner	@NPriceWeTrust31 😂
2021-11-14 22:28:37-05:00	Robin Lehner	@GoCanucksGoToo @Romance2110 Here chipotle has them so I’m set ❤️
2021-11-14 21:45:53-05:00	Robin Lehner	@Romance2110 @GoCanucksGoToo 💯 and it’s not even close
2021-11-14 21:40:09-05:00	Robin Lehner	@LKomarov The best uncle ❤️🙌
2021-11-14 21:38:47-05:00	Robin Lehner	@Romance2110 @GoCanucksGoToo Both good.. Pepsi has a bit of an edge. But Mexican coke in glass bottle is magic. 🙌
2021-11-14 21:32:02-05:00	Robin Lehner	@SoupyOnAir @MikeMcKenna56 To be fair I burn a lot more calories then all other goalies during games.. I would suggest another commercial break for more revenue and extra rest for me.
2021-11-14 21:21:06-05:00	Robin Lehner	@NuckMyLife I thought it was great 😊
2021-11-14 21:20:09-05:00	Robin Lehner	@yernlok Facts
2021-11-14 21:18:21-05:00	Robin Lehner	@GoCanucksGoToo Sometimes it’s Pepsi
